Project,Page,NF
Double Springs Water line SUP,https://www.fs.usda.gov/project/?project=43980,https://www.fs.usda.gov/wps/portal/fsinternet/cs/projects/alabama/landmanagement/projects?archive=1&sortby=1
Drennen Forestry Temporary Special Use Permit - Temporary Right-of-way,https://www.fs.usda.gov/project/?project=38163,https://www.fs.usda.gov/wps/portal/fsinternet/cs/projects/alabama/landmanagement/projects?archive=1&sortby=1
Easement for Justin H. Kenagy,https://www.fs.usda.gov/project/?project=46841,https://www.fs.usda.gov/wps/portal/fsinternet/cs/projects/alabama/landmanagement/projects?archive=1&sortby=1
Edmond Smith Permanent Easement,https://www.fs.usda.gov/project/?project=33945,https://www.fs.usda.gov/wps/portal/fsinternet/cs/projects/alabama/landmanagement/projects?archive=1&sortby=1
Forest Health and Longleaf Restoration - Tuskegee RD,https://www.fs.usda.gov/project/?project=6336,https://www.fs.usda.gov/wps/portal/fsinternet/cs/projects/alabama/landmanagement/projects?archive=1&sortby=1
Forest Plan Amendment  - Old Growth,https://www.fs.usda.gov/project/?project=22721,https://www.fs.usda.gov/wps/portal/fsinternet/cs/projects/alabama/landmanagement/projects?archive=1&sortby=1
Forest Plan Amendment #2 Minerals,https://www.fs.usda.gov/project/?project=24716,https://www.fs.usda.gov/wps/portal/fsinternet/cs/projects/alabama/landmanagement/projects?archive=1&sortby=1
FY2012 Timber Stand Improvement Project,https://www.fs.usda.gov/project/?project=39125,https://www.fs.usda.gov/wps/portal/fsinternet/cs/projects/alabama/landmanagement/projects?archive=1&sortby=1
FY2012 Timber Stand Improvement Project,https://www.fs.usda.gov/project/?project=39124,https://www.fs.usda.gov/wps/portal/fsinternet/cs/projects/alabama/landmanagement/projects?archive=1&sortby=1
FY2012 TLRD Midstory Removal,https://www.fs.usda.gov/project/?project=37630,https://www.fs.usda.gov/wps/portal/fsinternet/cs/projects/alabama/landmanagement/projects?archive=1&sortby=1
FY2014 Horn Valley 600 Acre Prescribed Burning,https://www.fs.usda.gov/project/?project=42740,https://www.fs.usda.gov/wps/portal/fsinternet/cs/projects/alabama/landmanagement/projects?archive=1&sortby=1
Gaston Yellow Dirt Powerline Additional Space,https://www.fs.usda.gov/project/?project=52269,https://www.fs.usda.gov/wps/portal/fsinternet/cs/projects/alabama/landmanagement/projects?archive=1&sortby=1
Greater Collier Watershed Forest Health and Restoration Project,https://www.fs.usda.gov/project/?project=42468,https://www.fs.usda.gov/wps/portal/fsinternet/cs/projects/alabama/landmanagement/projects?archive=1&sortby=1
"Grindstone, Mill and Inman (GMI) Watersheds Forest Health and Restoration Project",https://www.fs.usda.gov/project/?project=18257,https://www.fs.usda.gov/wps/portal/fsinternet/cs/projects/alabama/landmanagement/projects?archive=1&sortby=1
Herbicide Application,https://www.fs.usda.gov/project/?project=37905,https://www.fs.usda.gov/wps/portal/fsinternet/cs/projects/alabama/landmanagement/projects?archive=1&sortby=1
High Noon Entertainment Special Use Permit,https://www.fs.usda.gov/project/?project=45692,https://www.fs.usda.gov/wps/portal/fsinternet/cs/projects/alabama/landmanagement/projects?archive=1&sortby=1
Hillabee Creek Trust Forest Road Special Use Permit,https://www.fs.usda.gov/project/?project=50108,https://www.fs.usda.gov/wps/portal/fsinternet/cs/projects/alabama/landmanagement/projects?archive=1&sortby=1
Horn Mountain Communication Tower,https://www.fs.usda.gov/project/?project=42473,https://www.fs.usda.gov/wps/portal/fsinternet/cs/projects/alabama/landmanagement/projects?archive=1&sortby=1
Houston Longleaf Restoration Project,https://www.fs.usda.gov/project/?project=45918,https://www.fs.usda.gov/wps/portal/fsinternet/cs/projects/alabama/landmanagement/projects?archive=1&sortby=1
Hurricane Ivan - RCW Expansion Project,https://www.fs.usda.gov/project/?project=6671,https://www.fs.usda.gov/wps/portal/fsinternet/cs/projects/alabama/landmanagement/projects?archive=1&sortby=1
Install Weather Station,https://www.fs.usda.gov/project/?project=32295,https://www.fs.usda.gov/wps/portal/fsinternet/cs/projects/alabama/landmanagement/projects?archive=1&sortby=1
Jason McCullar Easement - Special Use Permit,https://www.fs.usda.gov/project/?project=30406,https://www.fs.usda.gov/wps/portal/fsinternet/cs/projects/alabama/landmanagement/projects?archive=1&sortby=1
Kentuck OHV Trail - White Loop Re Route,https://www.fs.usda.gov/project/?project=43830,https://www.fs.usda.gov/wps/portal/fsinternet/cs/projects/alabama/landmanagement/projects?archive=1&sortby=1
Kinder Morgan / Southern Natural Gas Special Use Permit Modification for Pesticide Usage,https://www.fs.usda.gov/project/?project=37894,https://www.fs.usda.gov/wps/portal/fsinternet/cs/projects/alabama/landmanagement/projects?archive=1&sortby=1
Lake Chinnabee Recration Area - Change of Use,https://www.fs.usda.gov/project/?project=42990,https://www.fs.usda.gov/wps/portal/fsinternet/cs/projects/alabama/landmanagement/projects?archive=1&sortby=1
Land Exchange - Evergreen Forests LLC,https://www.fs.usda.gov/project/?project=40745,https://www.fs.usda.gov/wps/portal/fsinternet/cs/projects/alabama/landmanagement/projects?archive=1&sortby=1
Longleaf Ecosystem Restoration Project-Oakmulgee Ranger District,https://www.fs.usda.gov/project/?project=2019,https://www.fs.usda.gov/wps/portal/fsinternet/cs/projects/alabama/landmanagement/projects?archive=1&sortby=1
Longleaf Pine Handplanting in Tornado Salvage Areas 2012,https://www.fs.usda.gov/project/?project=38242,https://www.fs.usda.gov/wps/portal/fsinternet/cs/projects/alabama/landmanagement/projects?archive=1&sortby=1
Longleaf Restoration - Phase II,https://www.fs.usda.gov/project/?project=6672,https://www.fs.usda.gov/wps/portal/fsinternet/cs/projects/alabama/landmanagement/projects?archive=1&sortby=1
Manual release of hardwood regeneration,https://www.fs.usda.gov/project/?project=38187,https://www.fs.usda.gov/wps/portal/fsinternet/cs/projects/alabama/landmanagement/projects?archive=1&sortby=1
Marlow Branch Prescribed Burn,https://www.fs.usda.gov/project/?project=34917,https://www.fs.usda.gov/wps/portal/fsinternet/cs/projects/alabama/landmanagement/projects?archive=1&sortby=1
MC Davis Land Acquisition Project,https://www.fs.usda.gov/project/?project=49499,https://www.fs.usda.gov/wps/portal/fsinternet/cs/projects/alabama/landmanagement/projects?archive=1&sortby=1
Mechanical Fuels Reduction,https://www.fs.usda.gov/project/?project=38186,https://www.fs.usda.gov/wps/portal/fsinternet/cs/projects/alabama/landmanagement/projects?archive=1&sortby=1
Midstory Removal for RCW in the Highfield Area - 2015,https://www.fs.usda.gov/project/?project=48073,https://www.fs.usda.gov/wps/portal/fsinternet/cs/projects/alabama/landmanagement/projects?archive=1&sortby=1
Midstory Removal in Longleaf Pine Stands,https://www.fs.usda.gov/project/?project=42364,https://www.fs.usda.gov/wps/portal/fsinternet/cs/projects/alabama/landmanagement/projects?archive=1&sortby=1
Midstory Removal in RCW Habitat 2014,https://www.fs.usda.gov/project/?project=43813,https://www.fs.usda.gov/wps/portal/fsinternet/cs/projects/alabama/landmanagement/projects?archive=1&sortby=1
